,id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365,num_reviews_ltm,price_category
3334,9528288.0,5402365,Treptow - Köpenick,Plänterwald,52.47317,13.48275,Entire home/apt,45,6,21,0.28,2,195,1,middle_price
3335,9529581.0,498957,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.5001,13.41101,Entire home/apt,140,3,2,0.03,2,0,0,high_price
3336,9536240.0,8250486,Mitte,Alexanderplatz,52.51599,13.42483,Shared room,26,1,100,1.3,49,129,4,low_price
3338,9540391.0,42489049,Mitte,Brunnenstr. Nord,52.53973,13.39752,Entire home/apt,60,3,0,0.0,1,0,0,middle_price
3339,9540682.0,8250486,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51713,13.42679,Shared room,37,1,100,1.31,49,161,1,middle_price
3340,9541468.0,49416896,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50254,13.43496,Entire home/apt,50,1,0,0.0,1,0,0,middle_price
3341,9553116.0,496754,Pankow,Prenzlauer Berg Süd,52.53596,13.42352,Entire home/apt,125,3,13,0.17,1,0,0,high_price
3343,9557834.0,18278034,Neukölln,Reuterstraße,52.48779,13.42775,Private room,29,2,10,0.13,1,0,0,low_price
3344,9560687.0,37806972,Neukölln,Neuköllner Mitte/Zentrum,52.47981,13.42878,Private room,29,3,4,0.06,1,0,0,low_price
3345,9562453.0,2596064,Neukölln,Rixdorf,52.48269,13.45183,Private room,20,5,0,0.0,1,0,0,low_price
3346,9569458.0,13452519,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51492,13.47192,Private room,30,3,2,0.03,2,0,0,low_price
3347,9569464.0,13628202,Neukölln,Rixdorf,52.46996,13.44261,Private room,25,1,14,0.31,1,0,0,low_price
3348,9569717.0,7993591,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50141,13.44178,Entire home/apt,75,3,5,0.07,1,0,4,middle_price
3349,9572038.0,18574801,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48791,13.39514,Private room,30,10,2,0.03,1,0,0,low_price
3350,9573648.0,10586780,Steglitz - Zehlendorf,Lankwitz,52.43016,13.36287,Private room,16,2,1,0.01,1,0,0,low_price
3351,9574154.0,49562507,Mitte,Parkviertel,52.54942,13.34903,Private room,36,3,2,0.06,1,0,0,middle_price
3352,9574264.0,49563005,Mitte,Moabit West,52.52772,13.34231,Private room,30,2,0,0.0,1,0,0,low_price
3353,9576015.0,49571456,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49626,13.40409,Private room,53,1,4,0.05,1,0,0,middle_price
3354,9576143.0,49342944,Pankow,Prenzlauer Berg Nord,52.54768,13.42591,Private room,77,3,2,0.03,1,0,0,middle_price
3355,9580758.0,187941,Tempelhof - Schöneberg,Schöneberg-Nord,52.49703,13.36264,Entire home/apt,90,4,44,0.61,2,0,0,high_price
3357,9584699.0,49613218,Reinickendorf,West 1,52.57604,13.2842,Entire home/apt,40,1,1,0.01,1,0,0,middle_price
3358,9584746.0,49613896,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52184,13.44596,Private room,27,15,0,0.0,1,0,0,low_price
3359,9585301.0,25090768,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49469,13.4372,Entire home/apt,150,1,1,0.01,1,0,0,high_price
3360,9586360.0,32670094,Mitte,Parkviertel,52.55553,13.34194,Entire home/apt,35,5,2,0.03,1,0,0,middle_price
3361,9587006.0,21472517,Neukölln,Schillerpromenade,52.47341,13.42558,Private room,30,7,0,0.0,1,0,0,low_price
3362,9590090.0,49636918,Neukölln,Köllnische Heide,52.47606,13.46488,Private room,18,1,1,0.01,1,0,0,low_price
3363,9594051.0,49655698,Pankow,Helmholtzplatz,52.54145,13.41879,Entire home/apt,60,1,0,0.0,1,0,0,middle_price
3364,9598101.0,20884306,Mitte,Alexanderplatz,52.52261,13.41505,Private room,50,2,51,0.67,2,13,2,middle_price
3365,9599108.0,24507087,Mitte,Alexanderplatz,52.52815,13.39856,Entire home/apt,69,4,107,1.42,3,241,30,middle_price
3366,9606268.0,49706106,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51126,13.47304,Entire home/apt,25,1,1,0.01,1,0,0,low_price
3367,9606416.0,999330,Tempelhof - Schöneberg,Tempelhof,52.4659,13.37468,Private room,18,1,4,0.05,3,0,0,low_price
3368,9607983.0,4032095,Mitte,Regierungsviertel,52.51336,13.38329,Entire home/apt,100,92,10,0.16,19,238,3,high_price
3369,9609423.0,49721186,Neukölln,Rixdorf,52.47308,13.45392,Private room,17,1,0,0.0,1,0,0,low_price
3370,9610228.0,19091012,Mitte,Wedding Zentrum,52.55577,13.38234,Private room,28,3,4,0.05,1,0,0,low_price
3371,9618882.0,49764282,Pankow,Helmholtzplatz,52.54456,13.42537,Entire home/apt,59,2,6,0.08,1,0,0,middle_price
3372,9619851.0,21475228,Neukölln,Rixdorf,52.47148,13.45213,Entire home/apt,80,5,1,0.01,1,0,0,middle_price
3373,9620858.0,49771951,Mitte,Osloer Straße,52.55663,13.38563,Entire home/apt,75,3,32,0.43,1,0,0,middle_price
3374,9625219.0,49788899,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50057,13.42864,Private room,25,4,0,0.0,1,0,0,low_price
3375,9625526.0,49790112,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49918,13.43965,Private room,25,10,2,0.03,1,0,0,low_price
3376,9626182.0,17702404,Tempelhof - Schöneberg,Schöneberg-Süd,52.48792,13.35089,Entire home/apt,70,14,4,0.07,1,0,0,middle_price
3377,9629749.0,49805293,Neukölln,Schillerpromenade,52.47641,13.42467,Private room,59,6,4,0.1,1,0,0,middle_price
3378,9631387.0,45368929,Pankow,Prenzlauer Berg Süd,52.53121,13.43634,Entire home/apt,106,4,4,0.06,1,0,0,high_price
3379,9631438.0,49812588,Neukölln,Rixdorf,52.4805,13.45593,Private room,22,1,31,0.43,2,0,0,low_price
3380,9632005.0,7552025,Pankow,Prenzlauer Berg Ost,52.53758,13.43836,Entire home/apt,150,4,39,0.52,2,50,1,high_price
3381,9637148.0,49838469,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51121,13.45142,Private room,18,1,0,0.0,1,0,0,low_price
3382,9638996.0,49846799,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49256,13.40078,Entire home/apt,98,3,10,0.22,1,0,4,high_price
3383,9640138.0,49850828,Mitte,Brunnenstr. Süd,52.53577,13.37986,Entire home/apt,41,92,13,0.21,2,167,1,middle_price
3384,9644775.0,19099027,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49456,13.43184,Entire home/apt,66,2,2,0.03,1,0,0,middle_price
3385,9648387.0,49883896,Pankow,Helmholtzplatz,52.54291,13.4204,Entire home/apt,60,5,2,0.03,1,0,0,middle_price
3386,9648587.0,2005872,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51704,13.4739,Entire home/apt,95,14,3,0.04,1,0,0,high_price
3387,9649050.0,49886297,Mitte,Osloer Straße,52.56502,13.3897,Entire home/apt,26,1,0,0.0,1,0,0,low_price
3388,9649084.0,49886215,Pankow,Prenzlauer Berg Nordwest,52.55324,13.40184,Private room,30,1,1,0.01,1,0,0,low_price
3389,9649234.0,49862464,Mitte,Wedding Zentrum,52.54179,13.36117,Private room,50,2,1,0.01,1,0,0,middle_price
3390,9655481.0,474705,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4909,13.40877,Entire home/apt,125,5,4,0.07,1,0,0,high_price
3391,9663247.0,49941234,Neukölln,Rixdorf,52.47887,13.44871,Private room,35,5,38,0.5,1,0,0,middle_price
3392,9666814.0,49955987,Mitte,Brunnenstr. Süd,52.53527,13.40605,Entire home/apt,72,3,3,0.04,1,0,0,middle_price
3393,9672036.0,4084976,Neukölln,Neuköllner Mitte/Zentrum,52.48445,13.42631,Private room,60,4,0,0.0,1,0,0,middle_price
3394,9672383.0,49980517,Charlottenburg-Wilm.,Mierendorffplatz,52.5229,13.30233,Private room,60,4,5,0.15,1,0,0,middle_price
3395,9674097.0,49986729,Pankow,Prenzlauer Berg Ost,52.52557,13.45383,Entire home/apt,73,2,25,0.35,1,0,0,middle_price
3396,9675267.0,5307516,Neukölln,Reuterstraße,52.48731,13.42516,Private room,49,3,18,0.51,1,0,0,middle_price
3397,9680933.0,50011456,Neukölln,Reuterstraße,52.491,13.43174,Private room,20,1,1,0.01,1,0,0,low_price
3398,9686165.0,50032593,Neukölln,Neuköllner Mitte/Zentrum,52.48073,13.42872,Entire home/apt,65,29,16,0.21,1,0,1,middle_price
3399,9686931.0,4952307,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51897,13.44363,Private room,50,2,15,0.23,1,0,0,middle_price
3400,9688380.0,17591087,Mitte,Alexanderplatz,52.50885,13.42598,Entire home/apt,175,3,18,0.25,1,2,2,high_price
3401,9689519.0,50046135,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4914,13.40621,Entire home/apt,40,3,249,3.29,1,84,40,middle_price
3402,9689818.0,34498420,Mitte,Alexanderplatz,52.51073,13.41694,Entire home/apt,65,4,7,0.16,1,0,6,middle_price
3403,9692035.0,50056316,Mitte,Wedding Zentrum,52.54723,13.36999,Private room,20,1,0,0.0,2,0,0,low_price
3404,9694278.0,44108734,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52312,13.45224,Private room,35,8,0,0.0,1,0,0,middle_price
3405,9695108.0,22358988,Neukölln,Rixdorf,52.48175,13.4423,Private room,66,3,0,0.0,1,0,0,middle_price
3406,9696421.0,12288380,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51819,13.46735,Entire home/apt,40,1,0,0.0,1,0,0,middle_price
3407,9703996.0,50107682,Mitte,Alexanderplatz,52.52573,13.4109,Entire home/apt,100,1,0,0.0,1,0,0,high_price
3408,9704842.0,50110974,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49506,13.43828,Entire home/apt,26,2,1,0.01,1,0,0,low_price
3409,9707618.0,632174,Mitte,Alexanderplatz,52.52633,13.39379,Entire home/apt,133,2,361,4.72,5,266,31,high_price
3410,9708953.0,37011142,Pankow,Helmholtzplatz,52.54147,13.41911,Entire home/apt,60,4,1,0.01,2,0,0,middle_price
3411,9709021.0,40709854,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50435,13.38968,Private room,52,2,54,0.76,1,11,3,middle_price
3412,9719805.0,1035251,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52584,13.45101,Private room,55,2,0,0.0,2,0,0,middle_price
3413,9726557.0,50197206,Neukölln,Rixdorf,52.47097,13.44323,Entire home/apt,40,2,0,0.0,1,0,0,middle_price
3414,9727199.0,50183407,Tempelhof - Schöneberg,Schöneberg-Nord,52.49003,13.34934,Private room,60,1,32,0.55,1,82,1,middle_price
3415,9728503.0,50203920,Charlottenburg-Wilm.,Schloß Charlottenburg,52.51636,13.28767,Private room,50,1,0,0.0,1,0,0,middle_price
3416,9731416.0,50214277,Mitte,Parkviertel,52.55276,13.34837,Entire home/apt,99,5,0,0.0,1,0,0,high_price
3417,9732185.0,2587611,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51721,13.31819,Entire home/apt,70,5,0,0.0,1,0,0,middle_price
3418,9734774.0,24757938,Tempelhof - Schöneberg,Tempelhof,52.46597,13.37635,Private room,13,1,0,0.0,2,0,0,low_price
3420,9746092.0,6203269,Pankow,Pankow Süd,52.55404,13.4159,Private room,24,1,0,0.0,1,0,0,low_price
3421,9746139.0,50260808,Mitte,Wedding Zentrum,52.53992,13.35623,Private room,15,5,1,0.02,1,0,0,low_price
3422,9749193.0,14733613,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49172,13.43589,Entire home/apt,95,3,9,0.12,1,110,3,high_price
3423,9750755.0,927978,Mitte,Alexanderplatz,52.52799,13.4072,Entire home/apt,41,7,12,0.16,1,0,0,middle_price
